"","PROGRAM","PROGRAM2"
"1","M.S. in Business Intelligence","*M* *MS* *Sc*  *BI* *B* *Analytics*"
"2","Master of Science Business Intelligence and Analytics (MSBIA)","*M* *MS* *Sc* *BI* *B* *Analytics*  *Analytics* msbia"
"3","Online MBA with Analytics Concentration","online *M* *MBA* *B*  *Analytics* concentration"
"4","Master of Science in  Analytics","*M* *MS* *Sc*   *Analytics*"
"5","Master of Science in Business Analytics","*M* *MS* *Sc*  *BI* *B* *Analytics*"
"6","Master of Science in Technology and Innovation - Business Intelligence and Data Management","*M* *MS* *Sc*  technology  innovation - *BI* *B* *Analytics*  data *Mgmt*"
"7","Online Master of Business Administration with concentration in Business Analytics","online *M* *MBA* *B*  concentration  *BI* *B* *Analytics*"
"8","Master of Science in Digital Marketing and Analytics","*M* *MS* *Sc*  digital marketing  *Analytics*"
"9","Professional Science Master's in Data Management and Analysis","professional science *M*  data *Mgmt*  analysis"
"10","Professional Science Master's Degree in Predictive Analytics","professional science *M* degree  predictive *Analytics*"
"11","MBA with Business Analytics Concentration","*M* *MBA* *B*  *BI* *B* *Analytics* concentration"
"12","MBA in Business Intelligence","*M* *MBA* *B*  *BI* *B* *Analytics*"
"13","MS in Applied Data Science","*M* *MS* *Sc*  applied *DS*"
"14","Healthcare Data Analyst Certificate","*Health-Bio*care data analyst *Cert*"
"15","Master of Professional Science in Technology Innovation with Focus in Bioinformatics","*M*  professional science  technology innovation  focus  *Health-Bio**Analytics*"
"16","Master of Science-Business Analytics","*M* *MS* *Sc*-*BI* *B* *Analytics*"
"17","Master of Science in Business Analytics","*M* *MS* *Sc*  *BI* *B* *Analytics*"
"18","Graduate Certificate in Marketing Analytics","graduate *Cert*  marketing *Analytics*"
"19","Emerging Leaders MBA - Business Analytics","emerging leaders *M* *MBA* *B* - *BI* *B* *Analytics*"
"20","Emerging Leaders MBA - Information Systems and Technology","emerging leaders *M* *MBA* *B* - *IT-IS*  technology"
"21","Graduate Certificate in Business Analytics","graduate *Cert*  *BI* *B* *Analytics*"
"22","Master of Business Analytics","*M*  *BI* *B* *Analytics*"
"23","Master of Science In Marketing Analytics","*M* *MS* *Sc*  marketing *Analytics*"
"24","Masters of Information Technology","*M*  *IT-IS*"
"25","Part-Time Professional MBA - Business Analytics","part-time professional *M* *MBA* *B* - *BI* *B* *Analytics*"
"26","Part-Time Professional MBA - Information Systems and Technology","part-time professional *M* *MBA* *B* - *IT-IS*  technology"
"27","Applied Business Analytics Graduate Certificate","applied *BI* *B* *Analytics* graduate *Cert*"
"28","MS in Statistical Practice","*M* *MS* *Sc*  *Stats* *Sc* practice"
"29","Master of Science in Computer Science - Data Analytics Concentration","*M* *MS* *Sc*  *CS* *Sc* - *Analytics* concentration"
"30","Master of Science in Computer Information Systems - Data Analytics Concentration","*M* *MS* *Sc*  computer *IT-IS* - *Analytics* concentration"
"31","Data Analytics Graduate Certificate","*Analytics* graduate *Cert*"
"32","Master of Science in Applied Business Analytics Management","*M* *MS* *Sc*  applied *BI* *B* *Analytics* *Mgmt*"
"33","M.S. in Analytics","*M* *MS* *Sc*  *Analytics*"
"34","Master of Science in Applied Statistics (specialization in Business Analytics)","*M* *MS* *Sc*  *Stats* *Sc* specialization  *BI* *B* *Analytics*"
